WNAM,SCHN
"Alcalde, Juan",Madrid
"Alcañiz [the Younger], Miguel",Balearic Islands
"Alcañiz the Elder, Miguel",Valencia; Barcelona; Balearic Islands
"Alcántara Jurado, Francisco",Madrid
"Alcántara, Diego de",Castile
"Alcaraz González, Francisco",Andalusia; Madrid
"Alcaraz, Francisco de",Seville
"Alcaraz, Julián",Murcia
"Alcayde, José",Valencia
"Alcayde, Mariano",Valencia; Madrid
"Alcázar Tejedor, José",Madrid
"Alcázar y Ruiz, Manuel",Madrid
"Alcázar, Diego de",Andalusia
"Alcázar, Manuel",Murcia
"Alcorlo, Manuel",Madrid
"Alcoverro y Amorós, José (or Josep)",Tarragona; Madrid
"Alcoverro y López, José",Madrid
"Aldaz y Sancho, Juan",Cádiz
"Aldecoa y Arbulo, Adrián María de",Basque Country
"Aldehuela, José Martín (or Josep Martín) de",Aragon; Andalusia
"Aleas Rodríguez, José",Madrid
"Aleas Vasco de Troya, Leonardo",Toledo
"Aleas, Miguel de",Castile-La Mancha
"Alegre Núñez, Luis (or Lluís)",Madrid
"Alegre y Górriz, Pascual",Valencia; Madrid
"Alegre, Manuel",Madrid
Alejo de Vahía,Castile-Leon
"Alemán the Elder, Juan",Toledo
"Alemán the Younger, Juan",Andalusia
"Alemán, Melchor (or Melchior)",Castile
"Alemán, Rodrigo",Toledo; Plasencia; Ciudad Rodrigo
"Alemani Font, Trinidad",Barcelona
"Alemany, Pere (or Pedro)",Catalonia
"Alentorn, Eduardo B.",Catalonia
"Alenza y Nieto, Leonardo",Madrid
"Aleu Socies, Marc",Catalonia
"Aleu Teixidor, Andreu (or Andrés)",Barcelona
"Alexander, Enrique (or Enric)",Barcelona
"Alexandre Ezquerra, José",Seville
"Alexandre, Alejandro",Valencia
"Alexandre, Fernando",Seville
"Alfaro Hernández, Andreu (or Andrés)",Valencia
"Alfaro y Brieva, Nicolás",Canary Islands; Madrid; Barcelona
"Alfaro y Gámez, Juan",Andalusia; Madrid
"Alfaro, Francisco de",Seville
"Algarra y Hurtado, Cosme",Madrid
"Algueró Nicoli, Pedro",Madrid
"Aliaga Romagosa, Emilio",Valencia
"Alincbrot, Louis (or Lodewijk, or Luis)",Valencia
"Alliincbrod, Joris (or Georges, or Jordi, or Jorkin)",Valencia
"Almagro López, Juan",[n.r.]
"Almela Costa, José María (or Josep María)",Murcia; Madrid
"Almonacid, Sebastián de",Castile; Seville
"Almuni Gol, Francesc (or Francesco, or Francisco)",Barcelona
"Alonso de los Ríos, Francisco",Valladolid
"Alonso de los Ríos, Pedro",Castile-Leon
"Alonso de Zamora, Fray",Burgos
"Alonso Pérez y Villagrosa, Mariano",Aragon
"Alonso Torres, Lamberto",Valencia
"Alonso, Angel",Madrid
"Alonso, Diego",Toledo
"Alonso, Francisco",Valladolid
"Alonso, Lorenzo",Murcia
"Alonso, Manuel",Seville
"Alonso, Mariano",Granada
"Alorda Pérez, Ramon",Catalonia
"Alós Serra, Ricardo",Valencia
Alouns,Catalonia
"Alpériz, Nicolás",Seville
"Alsamora, Onofre",Barcelona
"Alsina Amils, Antonio (or Antoni)",Catalonia; Madrid; Andalusia
"Alsina Amils, Ramón",Catalonia
"Alsina Cuxart, Lluís",Barcelona
"Altadell, Gabriel (or Gabriele)",Navarre
"Altamirano, Juan de",Galicia
"Alvarado de Rivas, Salvador",Málaga
"Alvarez Ajuria, Matías",Basque Country
"Alvarez Albarrán, Alonso",Seville
"Alvarez Algeciras, Germán",Andalusia
"Alvarez Armesto, Primitivo",Castile-Leon
"Alvarez Blanco, Rodrigo",[n.r.]
"Alvarez Bouquel, Aníbal",Madrid
"Alvarez Bouquel, José",Castile
"Alvarez Catalá, Luis (or Lluis)",Barcelona; Madrid
"Alvarez Cubero, José",Madrid; Andalusia
"Alvarez de Estrada, Juan",Madrid
"Alvarez de la Peña, Manuel Francisco",Salamanca; Madrid
"Alvarez de Molina, Juan",Andalusia
"Alvarez de Sotomayor y Zaragoza, Fernando",Galicia; Madrid
"Alvarez Díaz, Emilio",Madrid
"Alvarez Dumont, César",Madrid; Andalusia
"Alvarez Dumont, Eugenio",Madrid
"Alvarez Enciso, Domingo",Castile-Leon; Andalusia
"Alvarez Fernández, José",Avila
"Alvarez Laviada, Manuel",Asturias; Madrid
"Alvarez Muñiz, Braulio",Oviedo
"Alvarez Muro, Miguel Angel",Basque Country; Madrid
"Alvarez Ortega, Rafael",Seville; Madrid
"Alvarez Sala, Ventura",Asturias; Madrid
"Alvarez, Adrián",Valladolid
"Alvarez, Agustín",Galicia
"Alvarez, Lorenzo",Valladolid; Madrid; Murcia
"Alvarez, Manuel",Castile-Leon
"Alvarez, Manuel",Seville
"Alvarez, Manuel Angel",Galicia
"Alvarez, Toribio",Madrid
"Alvaro, Vicente",Valencia
"Alvear Aguirre, Gerardo de",Santander; Madrid
"Amadeu, Ramon",Barcelona; Madrid
"Amado Bernadet, Ramón",Barcelona; Madrid
Amar,[n.r.]
"Amaré, Rafael",[n.r.]
"Amárica, Fernando de",Basque Country; Castile-Leon
"Amat Pagés, Gabriel",Barcelona
"Amat Pagés, José (or Josep)",Barcelona
"Amat Virgili, José (or Josep)",Barcelona
"Amat, José (or Josep)",Barcelona
"Amaya Guerrero, Gabino",Badajoz
"Amaya, Andrés",Segovia
"Amberes, Domingo de",Burgos
"Amberes, Francisco de",Toledo
"Amell Jordá, Manuel",Barcelona
"Amérigo Morales, Ramón",Valencia
"Amérigo Rouviere, Federico",Alicante
"Amérigo Salazar, José",Valencia
"Amérigo y Aparici, Francisco Javier",Valencia; Madrid
"Ametller, Blas (or Blai)",Barcelona; Madrid
"Amézqueta, Juan de",Navarre
"Amigó, Eduardo (or Eduard)",Barcelona
"Amigó, Eudaldo Ramón (or Eduardo Ramón, or Eudald Ramon)",Barcelona
"Amigo, Martín",Basque Country
"Amigó, Mossèn (or Mosén) Jaume (or Jaime, or Jayme)",Catalonia
"Amirato, Claudio",[n.r.]
"Amo, José del",Burgos; Palencia
"Amor, Jerónimo",Barcelona
"Amorós Botella, Antonio (or Antoni)",Alicante; Madrid; La Coruña
"Amorós y Planelles, Manuel",Madrid
"Amusco, Antonio de",Palencia
"Amutio, Federico",Madrid
"Ancheta, Juan de",Basque Country; Navarre; Aragon
"Ancheta, Juan de",Navarre
"Ancheta, Miguel de",Navarre
"Anckermann, Ricardo",Palma de Mallorca; Madrid
"Andalusia, School of, Anonymous Painters of",
"Andalusia, School of, Anonymous Sculptors of",
"Andino, Cristóbal",Seville; Castile-Leon
"Andino, Pedro",Seville
"Andrada, Francisco",Seville; Madrid
"Andrade Blázquez, Angel",
"Andrade, Domingo de",Santiago de Compostela
Andrés Florentín,Castile
"Andreu Estrany, Mariano (or Mariá, or Marian)",Catalonia
"Andreu Ramón, Pedro Cristóbal (or Pedre Cristòfol)",Catalonia
"Andreu Sentamans, Teodoro",
"Andreu, Rafael",Catalonia
"Andreu, Rafael",Barcelona; Almería
"Andreu, Rafael",Barcelona
"Andreu, Ramón",Gerona
"Anduiza y Saloña, Diódoro",Biscay
Anesca de Carcasona,Catalonia
"Angel [the Elder], Pedro",Toledo
"Angel [the Younger], Pedro",Toledo
"Angel, Manuel",Pontevedra; Madrid
"Angeles Ortiz, Manuel",Andalusia; Madrid
"Angers, Juan de",Burgos; León
"Angés the Elder, Juan de",Castile-Leon; Galicia
"Angés the Younger, Juan de",Castile-Leon; Galicia
"Angla Roca, Antonio (or Antoni)",Barcelona
"Anglada Camarasa, Hermenegildo",Barcelona; Palma de Mallorca
"Anglada Pintó, Luis (or Lluís)",Barcelona
"Anglada Sarriera, Lola",Barcelona
"Anglada, Pere (or Pedro) ça",Catalonia
"Anglés Cañe, Joaquim (or Joaquín)",Barcelona
"Anglès, Joan Carles (or Juan Carlos)",Barcelona
"Anglois, Guillermo (or Guglielmo)",Madrid
"Angoloti, José María",Madrid
"Angulo, José de",Valladolid
"Angulo, Martín de",Málaga
"Aniano, Antonio de",Saragossa
"Aniano, Pedro de",Saragossa
"Ansa, Agustín",Basque Country
"Antigó, Joan",Gerona
