WNAM,SCHN
"Esteban, Juan",Madrid
"Esteban, Juan",Andalusia; Madrid; Toledo
"Esteban, Juan",Madrid
"Esteban, Master",León Santiago
"Estern y Enebras, [?]",[n.r.]
"Estevan y Vicente, Enrique",Madrid
"Estevan, Hermenegildo (or Hermengildo)",Aragon
"Esteve Bonet, José",Valencia
"Esteve Botey, Francisco (or Francesc)",Madrid
"Esteve Fuertes, Gabriel",Valencia
"Esteve Massaneda, Fernando (or Ferran)",Catalonia
"Esteve y Vilella, José",Valencia
"Esteve y Vilella, Rafael",Valencia; Madrid
"Esteve, Agustín",Valencia
"Esteve, Juan (or Joan)",Valencia
"Esteve, Miguel (or Miquel)",Valencia
"Estrada, Ignacio",Badajoz
"Estrada, Juan",Badajoz; Madrid
"Estradera Fontdevila, Antonio (or Antoni)",Barcelona
"Estrany Ros, Rafael",Barcelona
"Estruch, José",Valencia
"Estruga Andreu, Oscar",
"Eusebi Valladares, Arturo",Madrid
"Eusebi, Luis (or Lluís)",Madrid
"Eximeno the Elder, Joaquín",Valencia
"Eximeno the Younger, Joaquín",Valencia
Eximino,San Millán de la Cogolla
"Extremadura, School of, Anonymous Painters of",
"Extremadura, School of, Anonymous Sculptors of",
Ezpeleta,Aragon
"Ezpeleta, P.",[n.r.]
"Ezquerra del Bayo, Joaquín",Madrid
"Ezquerra, Jerónimo Antonio (or Gerónimo Antonio) de",Madrid
"Faber, Will (or Wilhelm)",Barcelona
"Fabré Bertrand, Jordi (or Jorge)",Barcelona
"Fabré Bestard, Fernando",Barcelona; Palma de Mallorca
"Fabré, Jaume (or Jaime, or Jayme)",Balearic Islands; Barcelona
"Fàbregas Ferrando, Josep Maria (or José María)",Barcelona
"Fabregat, José Joaquín",Valencia; Madrid
"Fabrés Costa, Antoni (or Antonio)",Barcelona
"Factor, Beato Nicolás",Valencia; Madrid
Facundo,León
"Falcó III, Nicolás",Valencia
"Falcó the Elder, Nicolás",Valencia
"Falcó the Younger, Nicolás",Valencia
"Falero, Luis Ricardo (or Luis Riccardo) (Duque de Labranzano)",Granada
"Fariña Alvarez, Alvaro",Canary Islands
"Farinós y Tortosa, Felipe",Valencia
"Farré París, Antonio (or Antoni)",Barcelona
"Farreras Ricart, Francisco",Madrid
"Farriols González, Santiago",Barcelona
"Feito López, Luis",Madrid
"Félez, Mariano",Saragossa; Madrid
"Felices, Alfredo",Cádiz; Madrid
"Felipe, Fray",Madrid
"Feliú de Lemus, Manuel",Barcelona
"Fenollera Ibáñez, José María",Valencia; Santiago de Compostela
"Fenosa, Apel.les (or Apeles, or Apelles)",Barcelona
"Ferau y Alsina, Enrique (or Enric)",Barcelona
"Fernandes, Enrique (or Enrico)",Barcelona
"Fernández el Labrador, Juan",Estremadura; Madrid
"Fernández Albalat, Andrés",Galicia; Madrid
"Fernández Alemán, Jorge",Andalusia
"Fernández Alvarado, José",Andalusia
"Fernández Ardavín, César",Madrid
"Fernández Balbuena, Roberto",Madrid
"Fernández Barrio, Jesús",Saragossa
"Fernández Carpio, Manuel",Madrid; Málaga; Santander
"Fernández Copello, Mariano",Cádiz
"Fernández Cruzado, Joaquín Manuel",Cádiz
"Fernández Cuervo, Andrés",Madrid
"Fernández Cuesta y Palafox, Eusebio",Madrid
"Fernández Cuevas, Antonio",Oviedo
"Fernández Cuevas, Telésforo",Oviedo
"Fernández Curro, Antonio",Madrid
"Fernández de Córdoba, Pedro",Andalusia
"Fernández de Guadalupe, Pedro",Seville
"Fernández de la Oliva, Manuel",Madrid; Cádiz; Seville
"Fernández de Soto Subirana, Rafael",Catalonia
"Fernández de Villasante, Julio Moisés (or Juli Moisés)",Cádiz; Barcelona; Madrid
"Fernández del Castillo, José Sixto",Canary Islands
"Fernández del Moral, Lesmes",Valladolid
"Fernández Hidalgo, Eulalio",Madrid
"Fernández Marrero, Antonio",Madrid
"Fernández Martínez, Rafael",Alicante
"Fernández Mota, Fernando",Madrid
"Fernández Núñez, Rodrigo",Castile-Leon
"Fernández Palazuelos, Joaquín",Santander
"Fernández Pasajes, José Luis",[n.r.]
"Fernández Pescador, Eduardo",Madrid
"Fernández Rodríguez, Juan",Aragon
"Fernández Sanahuja, Manuel",Madrid
"Fernández Shaw, Casto",Madrid
"Fernández the Elder, Luis",Córdoba
"Fernández the Younger, Luis",Seville
"Fernández Torrado, Félix",Badajoz
"Fernández Viana y Ugarte, Lorenzo",Basque Country
"Fernández y Rodríguez, Silvio",Valladolid
"Fernández, Alejo (or Alexo)",Córdoba; Seville
"Fernández, Amalio",Albacete; Madrid
"Fernández, Bartolomé",Segovia
"Fernández, Domingo",Seville
"Fernández, Francisco",Madrid
"Fernández, Gregorio",Galicia; Valladolid
"Fernández, Juan",Castile-La Mancha and Andalusia (?)
"Fernández, Juan de Dios",Seville
"Fernández, Luis",Madrid
"Fernández, Luis (or Louis)",Madrid
"Fernández, Nicolás",Badajoz
"Fernández, Pedro",Andalusia
"Fernández-Díaz, Rosy",
Fernando Juan,[n.r.]
"Ferrado, Cristóbal (or Christóval)",Asturias; Seville
"Ferrán Bayona, Manuel",Barcelona
"Ferrán Pagés, Ramón",Tarragona
"Ferrán Vallés, Adrià (or Adrián)",Balearic Islands
"Ferrán, Antoni (or Antonio)",Barcelona
"Ferrándiz Badenes, Bernardo (or Bernat)",Valencia; Madrid; Málaga
"Ferrándiz Llopis, Tomás",Valencia
"Ferrándiz Terán, Federico",Andalusia; Madrid
"Ferrando, Manuel",Balearic Islands
"Ferrant Fischermans, Alejandro",Madrid
"Ferrant Llausás, Fernando (or Ferran)",Madrid
"Ferrant Llausás, Luis (or Lluís)",Barcelona; Madrid
"Ferrant Vázquez, Angel",Madrid
"Ferrara, H.",
"Ferrater y Feliú, Antonio (or Antoni) de",Barcelona
"Ferré Ferré, Ramón",Barcelona
"Ferré Revascall, Josep (or José)",Catalonia
"Ferreira de la Torre, Carlos",Madrid
"Ferreiro, José",Galicia
"Ferrer [the Younger], Jaume (or Jaime)",Lérida
"Ferrer Alambillaga, Vicente",Valencia
"Ferrer Cabrera, Emilio",Valencia
"Ferrer Calatayud, Pedro",Valencia
"Ferrer Calatayud, Salvador",Valencia
"Ferrer Carbonell, Juan",Madrid
"Ferrer Comas, Eduardo (or Eduard)",Barcelona
"Ferrer Corriol, Antonio (or Antoni) de",Barcelona
"Ferrer Matas, Santiago",Barcelona
"Ferrer Miró, Joan (or Juan)",Barcelona
"Ferrer Pérez, Vicente",Valencia
"Ferrer Pinós, Agustí (or Agustín)",Barcelona
"Ferrer Puig, Guillermo",Balearic Islands
"Ferrer the Elder, Guillermo",Balearic Islands
"Ferrer the Elder, Jaume",Lérida
"Ferrer the Elder, José",Balearic Islands
"Ferrer the Younger, José",Valencia
"Ferrer y Pallejà, J.",Barcelona
"Ferrer, Daniel",[n.r.]
"Ferrer, Francesc (or Francisco)",Catalonia
"Ferrer, Guillermo (or Guillem)",Valencia
"Ferrer, Guillermo (or Guillem, or Guim)",Barcelona; Morella
"Ferrer, José (or Joseph)",Valencia
"Ferrer, Tomás",Saragossa; Granada
"Ferrer, Vicente",Valencia
"Ferrer, Vincentius",[n.r.]
"Férriz y Sicilia, Cristóbal (or Christobal)",Madrid
"Ferro Caaveiro, Lucas",Galicia
"Ferro, Gregorio",Madrid
Fidel,[n.r.]
"Fierros, Dionisio",Madrid
"Figuera, Joan (or Giovanni, or Juan)",Catalonia
"Figueras Sanmartí, Alfred (or Alfredo)",Barcelona
"Figueras Vila, Juan (or Joan)",Madrid
"Figueroa y Torres, Rodrigo de (Duque de Tovar)",Madrid
"Figueroa, Ambrosio de",Seville
"Figueroa, Antonio Matías de",Seville
"Figueroa, Leonardo de",Seville
"Figueroa, M.",[n.r.]
"Figueroa, Matías José de",Seville
"Fillol Granell, Antonio (or Antoni)",Valencia
"Fin, José (or Josep)",Barcelona
"Fina Fernández, Guillem",Barcelona
"Fiol Coll, Gabriel",Balearic Islands
"Fisac, Miguel (or Miquel)",Madrid
"Flandes [the Elder], Juan de","Burgos, Palencia and Salamanca"
"Flandes the Younger, Juan de",Palencia
"Flandes, Pedro de",Palencia
"Flaugier, José Bernat (or José Bernardo, or Josep Bernat, or Joseph Bernard)",Barcelona
"Fleitas Hernández, Plácido",Canary Islands
"Fló Guitart, Eduardo (or Eduard)",Barcelona
Florencio,Castile-Leon
"Florensa Arnús, Salvador",Barcelona
"Florentino, Julián (or Juliano)",Valencia
"Flores Ibáñez, Eduardo",Madrid
"Flores, Maravillas",Jaén
"Flores, Pedro",Murcia; Barcelona
"Flórez, Antonio",Cuenca
"Flórez, Francisco",Toledo
"Florido Berruelo, Enrique",Málaga
Floristán,Navarre
"Florit, José Luis",Madrid; Barcelona
"Flotats Canal, Lluís",Barcelona
"Fluviá, Juan (or Joan)",Barcelona
"Fluyxench y Trell, Miguel",Barcelona
"Foix Villuendas, Lluís (or Luis)",Barcelona
"Folch de Cardona, Francisco (or Francesco)",Murcia; Valencia
"Folch Roca, Ramon",
"Folch y Costa, Jaime (or Jaume, or Jayme)",Barcelona; Granada; Madrid
"Folch y Costa, José Antonio (or Josep Antoni)",Barcelona; Madrid
"Folgueras Doiztúa, Cipriano",Oviedo; Madrid
"Folías, Juan Bautista",Catalonia
"Fonseca y López de Vinuesa, Fernando",Seville
"Font Barrera, Antonio",Cádiz
"Font, Francisco (or Francesc)",Barcelona; Madrid
"Font, Juan (or Joan)",
"Fontaines, Pere (or Perris)",Catalonia
"Fontanet Clec, Amadeu (or Amadeo)",Barcelona
"Fontanet, Gil",Catalonia
"Fontportal Martí, Lluís",Tarragona
"Fonts Nogués, Andreu (or Andrés)",Barcelona
"Forment, Damián (or Damià)",Aragon and Catalonia
"Forment, Joan",Valencia
"Fornas Martínez, Jordi",Catalonia
"Fornells-Pla, Francesc (or Francisco)",Barcelona
"Forner the Younger, Jaume (or Jaime)",Catalonia
"Forner, Bartolomé (or Bartomeu)",Valencia
"Forner, Jaume (or Jaime)",Catalonia
"Forner, Pere",Valencia
"Forns Romans, Rafael",Valencia; Barcelona; Madrid
"Fort Galcerán, Juan (or Joan)",Barcelona
"Fortuny y de Madrazo, Mariano",Barcelona
"Fortuny y Marsal, Mariano (or Marià, or Marian)",Barcelona; Madrid; Granada
"Fraile Alcalde, Alfonso",Seville
"Francés Llamazares, Agapito",Castile-La Mancha
"Francés Mexía, Juan de Dios",Valencia; Madrid
"Francés y Pascual, Plácido (or Placid)",Valencia; Madrid
"Francés, Esteve (or Esteban)",Catalonia
"Francia, Juan Bautista",Valencia
Francisquito,Castile
"Franco Cordero, José",Andalusia
"Franco Salinas, Luis (or Lluís)",Valencia; Barcelona
"Franco, Julio",Basque Country
"Franquesa, Francisco (or Francesc)",Madrid
"Frau, José",Galicia; Madrid
"Frau, Josep",Barcelona
"Freixas Cortés, Jordi (or Jorge)",Barcelona
"Freixas Vivó, Amadeu",Catalonia
"Freixes Saurí, Joaquim (or Joaquín)",Barcelona
"Fresno y Arroyo, Anselmo del",Asturias
"Fresquet, Guillem (or Guillermo)",Barcelona
"Fruchel, Master",
Fructuoso,León
"Frutet, Francisco (or Francesco, or Frans)",Seville
"Fuente del Saz, Fray Julián de la",Madrid
"Fuente y Almazán, Luis (or Louis) de la",Madrid
"Fuente, Juan Leandro de la",Granada
"Fuentes y Redondo, Ubaldo",Madrid
"Fuentes, Juan",[n.r.]
"Furió Kobs, Vicente",Balearic Islands
"Furió, Ernesto",Valencia
"Fuxá y Leal, Manuel",Barcelona
"Gabadi, Bernal (or Bernart) de",Navarre
"Gabino Pariente, Alfonso",Valencia
"Gabriel de Borbón (Infante de España), [S.A.R.] (Don)",
"Gaínza, Martín de",Basque Country; Seville
"Gaiz Abascal, E.",
"Galbán, (Fray) José",Castile
"Galbién Meseguer, Antonio",Valencia; Madrid
"Galí Fabra, Francesc d'Assís (or Francisco de Asís)",Barcelona
"Galiay, José",Saragossa
"Galician School, Anonymous Painters of",
"Galician School, Anonymous Sculptors of",
"Galíndez, (Fray) Martín",Segovia
"Galindo, Federico",Andalusia
"Gallardo Ruiz, Gustavo",Seville
"Gallardo, Francisco",Andalusia
"Gallardo, Luis",Burgos
"Gallardo, Luis (or Luiz)",
"Gallego Marquina, Jesús",Zamora; Barcelona
"Gallego y Alvarez, Domingo",Madrid; Seville
"Gallego, Fernando",Salamanca; Estremadura
"Gallego, Francisco (or Francesco)",Salamanca; Santiago de Compostela
"Gallegos y Arnosa, José",Cádiz
"Gallel y Beltrán, José",Valencia
"Gallés Malats, Josep",Barcelona
"Gallés Pujal, Sebastià (or Sebastián)",Catalonia
"Gallissà i Soqué, Antoni Maria (or Antonio María)",Barcelona
"Galofre Coma, Josep (or José)",Barcelona
"Galofre Giménez, Baldomer (or Baldemiro, or Baldomero)",Catalonia
"Galofre Oller, Francesc (or Francisco)",Catalonia
"Galván y Candela, José María",Madrid
"Galván, Juan",Saragossa
"Gálvez Roig, José",Valencia [?]
"Gálvez, Juan",Madrid
"Gálvez, Pedro de",
"Galwey García, Enric (or Enrique)",Barcelona
"Gambino, José (or Josef)",Galicia
"Gamborino, Miguel (or Miquel)",Valencia; Madrid
"Gamoneda y García del Valle, José María",Oviedo; Madrid
"Gàndara Bonnín, Manuel",Barcelona
"Gandàrias, Just (or Justo) de",Barcelona
"Gandía, Juan de",Madrid
"Gárate, Juan José",Teruel; Madrid
"Garay Arévalo, Manuel",Madrid
"Garay García, Luis",Murcia
"Garay Macua, Eloy",Basque Country
"García Hispaleto, Manuel",Seville
"García Hispaleto, Rafael",Seville
"García Alegría, Fernando",Basque Country
"García Asarta, Inocencio",Basque Country; Barcelona; Madrid
"García Barcia, Manuel",Cádiz
"García Benito, Eduardo",Valladolid; Madrid
"García Bouzas, Miguel Antonio",Galicia
"García Bustamante, Luis",Basque Country
García Cabré,
"García Camio, Pedro",Madrid
"García Carrió, Angel",Asturias; Barcelona
"García Chicano, José",Andalusia
"García Condoy, Honorio",Saragossa; Madrid; Barcelona
"García Condoy, Julio",Aragon
"García de Benabarre, Pere (or Pedro)",Catalonia; Aragon
"García de Bouzas, Juan Antonio",Galicia; Madrid
"García de la Cal, Francisco",Madrid
"García de Laguardia, Juan",Navarre
"García de Miranda, Juan",Madrid
"García de Santiago, Bartolomé",Seville
"García de Santiago, Manuel",Seville
"García del Corral, Federico (or Frederik)",Seville; Barcelona
"García Díaz, Angel",Madrid
"García Espínola, Ramón",Basque Country; Madrid
"García Estragués, Francesc (or Francisco)",Barcelona
"García Ferrer, (Mosén) Pedro",Valencia; Madrid; Toledo
"García González, Manuel",Valencia
"García Guijo, Rafael",Córdoba; Madrid
"García Gutiérrez, Julio",Barcelona
"García Hidalgo, José (or Josef, or Joseph)",Murcia; Valencia; Madrid
"García Ibáñez, Francisco",Madrid
"García Junceda Supervia, Joan (or Juan)",Barcelona
"García Lema, Pedro",Madrid
"García Lesmes, Aurelio",
"García López, Antonio",Madrid
"García Lorca, Federico",Andalusia; Madrid
"García Martínez, Emilio",Madrid
"García Martínez, Juan",Aragon; Madrid
"García Melgarejo, Diego",Andalusia
"García Mencia, Antonio",Madrid
"García Morales, Antonio",Barcelona
"García Oliver, Luis (or Lluís)",Barcelona
"García Ortiz, Francisco Javier",Almería
"García Patiño, Mariano",Galicia
"García Prieto, Andrés",Burgos
"García Ramón, Leopoldo",Valencia
"García Ramos, José",Seville
"García Ramos, Juan",Seville
"García Reinoso, Antonio",Córdoba
"García Rodríguez, Manuel",Seville
"García Salazar, Miguel",
"García Salmerón, Cristóbal",Cuenca; Madrid
"García Sampedro, Luis",Barcelona; Madrid
"García Sampedro, Tomás",Asturias
"García Terán, Manuel",Gijón
"García Urturi, Felipe",Vitoria; Madrid
"García Vázquez, Sebastián",Huelva
"García Vilamala, Justo (or Just)",Barcelona
"García y Alcázar, Lino",Madrid
"García y Díaz, Domingo",Andalusia
"García y García, Juan José",Castile
"García y García, Rafael",Andalusia
"García y González del Valle, Agustín",Jaen
"García y Mas, Mariano",Valencia
"García, Alvar (or Alvaro)",Navarre; Avila
"García, Emmanuel",Seville
"García, Fernando",Catalonia
"García, Francisco",Murcia
"García, José (or Josef, or Joseph)",Valencia
"García, Juan",Cádiz
"García, Jusepe",Castile-La Mancha
"García, Martín",Castile-Leon
"García, Martín",Aragon
"García, Nicolás",Madrid
"García, Pedro",Andalusia
"Garcia, Uamado",
"Gargallo Guerrero, José",Andalusia; Barcelona
"Gargallo, Pablo (or Pau)",Aragon; Barcelona
"Garí, Joan",Lérida
"Garnelo Fillol, Isidoro (or Isidro)",Valencia
"Garnelo Fillol, Jaime",Valencia
"Garnelo Gonzálvez, José Ramón",Valencia; Córdoba
"Garnelo y Alda, José (or Josep)",Valencia
"Garnelo y Alda, Manuel",Córdoba
"Garrell Soto, Amador",Barcelona
"Garrido Méndez, Ramón",Valencia
"Garrido, Eduardo León (or Edouard León)",Madrid
"Garrido, Fernando",Andalusia
"Garrido, Leandro Ramón",
"Garrocha, J.",
"Garrote, Crisanto",Coruña
Garsea,Rioja; Navarre
"Garseani, Enneco (or Eneco)",Navarre
"Garsia, Stephanus (or Stefanus)",
"Gärtner de la Peña, José",Málaga
"Garza, Ciriaco de la",Burgos; Madrid
"Gasch, Luis",Valencia
"Gascó, Francesc (or Francesch, or Francisco)",Catalonia
"Gascó, Joan (or Juan)",Navarre; Catalonia
"Gascó, Pere (or Pedro, or Perot)",Catalonia
"Gascó, Sebastiá (or Sebastiano)",Catalonia
"Gascón de Gotor, Anselmo",Saragossa; Huesca
"Gasis, Pedro",Guipúzcoa; Madrid
"Gassies, Arnau (or Arnaldo)",Rosellón
"Gastó Vilanova, Pere (or Pedro)",Barcelona
"Gasull, Agustín",Valencia
"Gato de Lema, Carlos",Madrid
"Gatón, Joan (or Juan)",Catalonia
"Gaucelm, Jalbert (or Jaubert)",Catalonia
"Gaudí, Antoni (or Antonio)",Barcelona
"Gaudí, Fra Lluís Pasqual",Catalonia; Seville
"Gausachs Armengol, Josep (or José)",Barcelona
"Gay, C.",
"Gayllard, Mateu",
"Gazo, Félix",Aragon
"Gener, Guerau",Barcelona; Valencia
"Gerona, School of, Anonymous Painters of",
"Gerona, School of, Anonymous Sculptors of",
"Gessa Arias, Sebastián",Cádiz; Madrid
"Giachineti González, Juan",Madrid
"Gibert Roig, Pau (or Pablo)",Tarragona
"Gil Bergasa, Justino",Aragon
"Gil de Hontañón the Younger, Juan",Salamanca and Valladolid
"Gil de Hontañón, Juan",Castile; Andalusia
"Gil de Hontañón, Rodrigo",
"Gil de Mena, Felipe",Valladolid; Madrid
"Gil de Vicario, Luis (or Lluís)",Barcelona
"Gil Gallango, Felipe",Seville
"Gil García, Alfredo",Valencia
"Gil Gil, Joan (or Juan)",Barcelona
"Gil Montejano, José Antonio",Murcia
"Gil Moreno de Mora, José Pedro",
"Gil Rey, Ramón",Madrid; Santiago de Compostela
"Gil Sala, Ignasi (or Ignacio)",Barcelona
"Gil the Younger, José",Valencia
"Gil y Gavilondo, Isidro (or Isidoro)",Burgos; Madrid
"Gil, Jerónimo Antonio",Madrid
"Gil, José",Valencia
"Gil, Juan Antonio",Andalusian?
"Gilabert Ponce, Luis",Valencia
"Gilabert, Antonio",Valencia
"Gilarte, Mateo (or Matheo)",Murcia
"Gili Roig, Baldomer (or Baldomero)",Catalonia
"Gili, Jerónimo",Madrid
"Giménez Fernández de la Rosa, Magdalena",Murcia; Madrid
"Giménez Giménez, Joan (or Juan)",Barcelona
"Giménez Solà, Joaquim (or Joaquín)",Barcelona
"Giménez Valls, Francesc (or Francisco)",Barcelona
"Gimeno Arasa, Francesc (or Francisco)",Catalonia
"Gimeno y Canencia, Eduardo",Madrid
"Gimeno y Carra, Vicente",Madrid
"Gimeno y Carrera, José Antonio",Valencia; Madrid
"Gimeno, Andrés",Segovia
"Giner y Vidal, Carlos",Valencia; Madrid
"Giner y Vidal, Vicente",Valencia
"Giner, Francisco",Aragon
"Giner, Gabriel",
"Giner, Juan",Aragon
"Giner, Tomás",Aragon
"Giner, Vicente",Valencia
"Ginés, José (or Joseph)",Valencia; Madrid
"Ginjaume Lacampre, María",Barcelona
Gino,León
"Giráldez y Peñalver, Adolfo",Cádiz; Madrid; Barcelona
"Giraldo, Lucas",Avila
"Giralt, Augustín",Gerona
"Giralte the Younger, Francisco",Palencia
"Giralte, Francisco",Palencia
"Girard, Pere (or Pedro)",Valencia; Catalonia
"Girbaut, Arnáu (or Arnaldo)",Catalonia
"Gironella Rodó, Josep (or José)",Barcelona
"Gisbert Pérez, Antonio",Madrid
"Godoy Castro, Federico",Cádiz
"Goini, Miguel de",Navarre
"Gol Creus, Josep Maria (or José María)",Barcelona; Valencia
"Gomà Boronat, Ferran (or Fernando)",Catalonia
"Gomar y Gomar, Antonio (or Antoni)",Valencia
"Gomar, Francesc (or Francesco, or Francí, or Francisco, or Françi)",Catalonia; Aragon
Gómez,La Rioja
Gómez,Navarre (Albelda)
Gómez,
"Gómez Alarcón, Juan Angel",Albacete; Madrid
"Gómez Cano, Antonio",Murcia; Madrid
"Gómez Cros, Antonio",Valencia; Madrid
"Gómez de Mora, Juan",Madrid
"Gómez de Orozco, Hernando",Seville
"Gómez de Sandoval, Alonso",Córdoba
"Gómez de Valencia, Felipe",Granada
"Gómez de Valencia, Francisco",Granada
"Gómez Gil, Guillermo",Andalusia
"Gómez Gimeno, Ricardo",
"Gómez Lanzuela, Antonio",Cádiz; Madrid
"Gómez Martín, Eduardo",Seville
"Gómez Mir, Eugenio",Granada; Madrid
"Gómez Moreno y González, Manuel",Granada
"Gómez Niederleytner, Germán",Valencia
"Gómez Novella, Vicente",Valencia; Madrid
"Gómez Pastor, Jacinto",Segovia
"Gómez Plasent, Vicente",Madrid
