WNAM,FEM
"Angers, Juan de",
"Angés the Elder, Juan de",
"Angés the Younger, Juan de",
"Angla Roca, Antonio (or Antoni)",
"Anglada Camarasa, Hermenegildo",
"Anglada Pintó, Luis (or Lluís)",
"Anglada Sarriera, Lola",
"Anglada, Pere (or Pedro) ça",
"Anglés Cañe, Joaquim (or Joaquín)",
"Anglès, Joan Carles (or Juan Carlos)",
"Anglois, Guillermo (or Guglielmo)",
"Angoloti, José María",
"Angulo, José de",
"Angulo, Martín de",
"Aniano, Antonio de",
"Aniano, Pedro de",
"Ansa, Agustín",
"Antigó, Joan",
"Antolín, Antonio",
"Antolínez, Francisco",
"Antolínez, José (or Josef)",
"Antón Puig, Vicente (or Vicenç, or Vicent)",
"Antona, Nicolás de",
"Antonio Martínez, Pedro",
"Antonio, Cristóbal de",
"Antonio, Matías",
"Aparici Solanich, Antonio (or Antoni)",
"Aparici y Soriano, Federico",
"Aparicio, José",
"Aparicio, Lorenzo",
"Apellániz López, Jesús",
"Apellániz Saez de Ybarra, Andrés",
"Aponte, Pedro de",
"Aquiles, Julio",
"Aquilín, Antonio de",
"Aragay Blanchart, Josep (or José)",
"Aragó Cabañas, Lluís Maria",
"Aragón, Juan de",
"Aragonese School, Anonymous Painters of",
"Aragonese School, Anonymous Sculptors of",
"Aranda Salazar, Juan de",
"Aranda y Delgado, Francisco",
"Aranda, Diego de",
"Aranda, Fray Leandro",
"Arandia, Juan de",
"Arango, José María",
"Aranoa y Carredano, Juan de",
"Araoz the Elder, Andrés de",
"Araoz the Younger, Andrés de",
"Aras, Bernardo de",
"Arasa, Ferran (or Fernando)",
"Araujo Ruano, Joaquín",
"Araujo y Sánchez, Ceferino",
"Arbiol, Vicente",
"Arbós y Ayerbe, Manuel",
"Arbulo Marguvete, Pedro",
"Arcas Pons, Miguel",
"Arcayna, Pere (or Pedro)",
"Arce, Baltasar de",
"Arce, José (or Josef) de",
"Arco, Alonso del",
"Ardanaz, Pío",
"Ardanuy Fernández, Josep Jordi",
"Ardemans, Teodoro",
"Ardit, Simón (or Simó)",
"Arellano, José de",
"Arellano, Juan de",
"Arenas, Hernando de",
"Arenys Galdón, Ricard (or Ricardo)",
"Arévalo, Juan de",
"Arfe the Elder, Antonio de",
"Arfe the Younger, Antonio de",
"Arfe the Elder, Enrique de",
"Arfe the Younger, Enrique de",
"Arfe, Juan de",
"Arfián, Alonso",
"Arfián, Antonio de",
"Argelés Escriche, Rafael",
"Argensola, Francisco Leonardo de",
"Argimón Granell, Daniel",
"Argüelles, Julio",
"Argüello, Miguel Angel",
Arias,
"Arias Alvarez, Francisco",
"Arias Blanco, Salvador",
"Arias, Antonio",
"Arias, Ignacio",
"Ariet Olives, José (or Josep)",
"Arija, José",
"Ariño de Garay, Norberto",
"Ariño, Pedro",
"Ariosto, Felipe (or Filippo)",
"Arismendi, Felipe",
"Arismendi, Juan de",
"Aristizábal, Manuel",
"Armendía, Pedro de",
"Armengol Gall, Emili (or Emilio)",
"Armengol, Rafael",
"Armengot Colás, Vicente (or Vicent)",
Armentario,
"Armet Portanell, José (or Josep)",
"Arnaiz, Doroteo",
"Arnal y Rojas, José",
"Arnal, Juan Pedro",
"Arnaldín, Benito",
Arnaldo,
Arnao de Flandes [the Younger],
Arnao de Flandes the Elder,
"Arnau Mascort, Eusebio (or Eusebi)",
"Arnau Miramón, Joaquín (or Joaquim) María",
"Arnau, Guillem (or Guillen, or Guillermo)",
"Arnau [the Elder], Juan (or Joan)",
"Arnau [the Younger], Juan (or Joan)",
"Arnau, Ramón",
"Arnaudies, Francesc",
"Arnaudies, Francisco (or Francesc)",
"Aróstegui Barbier, Juan de",
"Arpa Perea, José",
"Arragel, (Rabbi) Moses",
"Arranz, Lorenzo",
"Arrau y Barba, José (or Josep)",
"Arredondo y Calmache, Ricardo",
"Arredondo, García de",
"Arredondo, Isidoro",
"Arregui, Carlos",
"Arriba, Eugenio de",
"Arrieta, Simón",
"Arronte, Aureliano",
"Arroyo Fernández, Rafael",
"Arroyo y Lorenzo, Manuel",
"Arroyo, Diego de",
"Arroyo, Eduardo",
"Arrúe Valle, Alberto",
"Arrúe Valle, José",
"Arrúe Valle, Ramiro",
"Arrúe Valle, Ricardo",
"Arruti y González Pola, Eugenio",
"Artá, Antonio de",
"Arteaga y Alfaro, Matías",
"Arteaga, Diego de",
"Arteta y Errasti, Aurelio",
"Artiga, Francisco (or Francesc)",
"Artigas Basté, Josep (or José)",
"Artigau, Francesc (or Francisco)",
"Artís Gener, Avelí (or Avel.lí, or Avelino, or Avellí)",
"Artís Tomás, Andreu Avelí (or Andreu Avelli)",
"Arvei, Pere",
"Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)",
"Asensio Mariné, Joaquim (or Joaquín)",
