RN,FRECN,ALT,authority,search,authimport
5109,2585,"Muñoz y Degrein, Antonio","Muñoz Degrain, Antonio","Muñoz y Degrein, Antonio;  Muñoz Degrain, Antonio","Muñoz Degrain, Antonio"
5110,2586,Carpe,"Carpe, Antonio Hernández","Carpe;  Carpe, Antonio Hernández","Carpe, Antonio Hernández"
5111,2586,"Hernández Carpe, Antonio","Carpe, Antonio Hernández","Hernández Carpe, Antonio;  Carpe, Antonio Hernández","Carpe, Antonio Hernández"
5112,2587,"Giraldo, Luis","Giraldo, Lucas","Giraldo, Luis;  Giraldo, Lucas","Giraldo, Lucas"
5113,2587,Lucas Giraldo,"Giraldo, Lucas","Lucas Giraldo;  Giraldo, Lucas","Giraldo, Lucas"
5114,2588,"Pedret, Master of",Master of Pedret,"Pedret, Master of;  Master of Pedret",Master of Pedret
5115,2588,Pedret Master,Master of Pedret,Pedret Master;  Master of Pedret,Master of Pedret
5116,2589,Master of San Sadurní d'Osormort,Master of Osormort,Master of San Sadurní d'Osormort;  Master of Osormort,Master of Osormort
5117,2589,Osormort Master,Master of Osormort,Osormort Master;  Master of Osormort,Master of Osormort
5118,2590,"Sánchez, Pedro","Sánchez I, Pedro","Sánchez, Pedro;  Sánchez I, Pedro","Sánchez I, Pedro"
5119,2591,Master of Rubielos,Master of Rubielos de Mora,Master of Rubielos;  Master of Rubielos de Mora,Master of Rubielos de Mora
5120,2592,Master of Lluçanes,Master of Lluçà,Master of Lluçanes;  Master of Lluçà,Master of Lluçà
5121,2592,Master of Llusá,Master of Lluçà,Master of Llusá;  Master of Lluçà,Master of Lluçà
5122,2592,Master of Llusanés,Master of Lluçà,Master of Llusanés;  Master of Lluçà,Master of Lluçà
5123,2594,"Spanish Panels, Forger of",Master of the Spanish Panels,"Spanish Panels, Forger of;  Master of the Spanish Panels",Master of the Spanish Panels
5124,2596,Argaño Master,Master of Argaño,Argaño Master;  Master of Argaño,Master of Argaño
5125,2598,"Becerril, Juan (de)","González Becerril, Juan","Becerril, Juan (de);  González Becerril, Juan","González Becerril, Juan"
5126,2598,"Becerril, Juan González*","González Becerril, Juan","Becerril, Juan González*;  González Becerril, Juan","González Becerril, Juan"
5127,2598,"González Becerra, Juan","González Becerril, Juan","González Becerra, Juan;  González Becerril, Juan","González Becerril, Juan"
5128,2599,Master of Horcajo,Master of Paredes de Nava,Master of Horcajo;  Master of Paredes de Nava,Master of Paredes de Nava
5129,2599,Master of Paredes,Master of Paredes de Nava,Master of Paredes;  Master of Paredes de Nava,Master of Paredes de Nava
5130,2599,"Paredes, Master of",Master of Paredes de Nava,"Paredes, Master of;  Master of Paredes de Nava",Master of Paredes de Nava
5131,2599,Paredes Master,Master of Paredes de Nava,Paredes Master;  Master of Paredes de Nava,Master of Paredes de Nava
55,26,Aladrén,"Aladrén, Emilio","Aladrén;  Aladrén, Emilio","Aladrén, Emilio"
5132,2600,"Santiago, Manuel García de*","García de Santiago, Manuel","Santiago, Manuel García de*;  García de Santiago, Manuel","García de Santiago, Manuel"
5133,2601,"Montaner, Juan","Muntaner, Juan I","Montaner, Juan;  Muntaner, Juan I","Muntaner, Juan I"
5134,2601,"Montaner, Juan I","Muntaner, Juan I","Montaner, Juan I;  Muntaner, Juan I","Muntaner, Juan I"
5135,2601,"Muntaner, Juan","Muntaner, Juan I","Muntaner, Juan;  Muntaner, Juan I","Muntaner, Juan I"
5136,2603,"García, Joaquim Renart i","Renart García, Joaquim (or Joaquín)","García, Joaquim Renart i;  Renart García, Joaquim (or Joaquín)","Renart García, Joaquim (or Joaquín)"
5137,2603,"Renart, Joaquim (or Joaquín)","Renart García, Joaquim (or Joaquín)","Renart, Joaquim (or Joaquín);  Renart García, Joaquim (or Joaquín)","Renart García, Joaquim (or Joaquín)"
5138,2605,"Manescau, Antonio María de Reyna*","Reyna Manescau, Antonio María de","Manescau, Antonio María de Reyna*;  Reyna Manescau, Antonio María de","Reyna Manescau, Antonio María de"
5139,2605,"Reina (y) Manescau, Antonio","Reyna Manescau, Antonio María de","Reina (y) Manescau, Antonio;  Reyna Manescau, Antonio María de","Reyna Manescau, Antonio María de"
5140,2605,"Reyna, Antonio","Reyna Manescau, Antonio María de","Reyna, Antonio;  Reyna Manescau, Antonio María de","Reyna Manescau, Antonio María de"
5141,2605,"Reyna Manescau, Antonio","Reyna Manescau, Antonio María de","Reyna Manescau, Antonio;  Reyna Manescau, Antonio María de","Reyna Manescau, Antonio María de"
5142,2605,"Reyna Manescau Zayas y Ostman, Antonio María de la Concepción","Reyna Manescau, Antonio María de","Reyna Manescau Zayas y Ostman, Antonio María de la Concepción;  Reyna Manescau, Antonio María de","Reyna Manescau, Antonio María de"
5143,2609,"Teixidor, Modest (or Modesto)","Teixidor Torres, Modest (or Modesto)","Teixidor, Modest (or Modesto);  Teixidor Torres, Modest (or Modesto)","Teixidor Torres, Modest (or Modesto)"
5144,2609,"Texidor y Torres, Modesto","Teixidor Torres, Modest (or Modesto)","Texidor y Torres, Modesto;  Teixidor Torres, Modest (or Modesto)","Teixidor Torres, Modest (or Modesto)"
5145,2609,"Torres, Modest Teixidor*","Teixidor Torres, Modest (or Modesto)","Torres, Modest Teixidor*;  Teixidor Torres, Modest (or Modesto)","Teixidor Torres, Modest (or Modesto)"
516,261,"Balza, Joaquín Bárbara*","Bárbara y Balza, Joaquín","Balza, Joaquín Bárbara*;  Bárbara y Balza, Joaquín","Bárbara y Balza, Joaquín"
517,261,"Bárbara, Joaquín","Bárbara y Balza, Joaquín","Bárbara, Joaquín;  Bárbara y Balza, Joaquín","Bárbara y Balza, Joaquín"
518,261,"Bárbara y Belza, Joaquín","Bárbara y Balza, Joaquín","Bárbara y Belza, Joaquín;  Bárbara y Balza, Joaquín","Bárbara y Balza, Joaquín"
5146,2612,"Picart, Juan","Picardo, Juan","Picart, Juan;  Picardo, Juan","Picardo, Juan"
5147,2613,"Mariño, Melchor Prado*","Prado Mariño, Melchor","Mariño, Melchor Prado*;  Prado Mariño, Melchor","Prado Mariño, Melchor"
5148,2613,"Prado, Melchor del","Prado Mariño, Melchor","Prado, Melchor del;  Prado Mariño, Melchor","Prado Mariño, Melchor"
5149,2613,"Prado Marino, Melchor","Prado Mariño, Melchor","Prado Marino, Melchor;  Prado Mariño, Melchor","Prado Mariño, Melchor"
5150,2614,Bouzas,"García de Bouzas, Juan Antonio","Bouzas;  García de Bouzas, Juan Antonio","García de Bouzas, Juan Antonio"
5151,2614,"Bouzas, J.A.","García de Bouzas, Juan Antonio","Bouzas, J.A.;  García de Bouzas, Juan Antonio","García de Bouzas, Juan Antonio"
5152,2614,"Bouzas, Juan Antonio","García de Bouzas, Juan Antonio","Bouzas, Juan Antonio;  García de Bouzas, Juan Antonio","García de Bouzas, Juan Antonio"
5153,2614,"Bouzas, Juan Antonio García de*","García de Bouzas, Juan Antonio","Bouzas, Juan Antonio García de*;  García de Bouzas, Juan Antonio","García de Bouzas, Juan Antonio"
5154,2614,García de Bouzas,"García de Bouzas, Juan Antonio","García de Bouzas;  García de Bouzas, Juan Antonio","García de Bouzas, Juan Antonio"
5155,2614,"García de Bouzas, Xoán Antonio","García de Bouzas, Juan Antonio","García de Bouzas, Xoán Antonio;  García de Bouzas, Juan Antonio","García de Bouzas, Juan Antonio"
5156,2614,"García Bouzas I, Juan Antonio","García de Bouzas, Juan Antonio","García Bouzas I, Juan Antonio;  García de Bouzas, Juan Antonio","García de Bouzas, Juan Antonio"
5157,2615,Gómez de Horezco,"Gómez de Orozco, Hernando","Gómez de Horezco;  Gómez de Orozco, Hernando","Gómez de Orozco, Hernando"
5158,2615,Gómez (de) Horozco,"Gómez de Orozco, Hernando","Gómez (de) Horozco;  Gómez de Orozco, Hernando","Gómez de Orozco, Hernando"
5159,2615,Gómez (de) Orozco,"Gómez de Orozco, Hernando","Gómez (de) Orozco;  Gómez de Orozco, Hernando","Gómez de Orozco, Hernando"
5160,2615,"Horozco, Gómez (de)","Gómez de Orozco, Hernando","Horozco, Gómez (de);  Gómez de Orozco, Hernando","Gómez de Orozco, Hernando"
5161,2615,"Orozco, Gómez de","Gómez de Orozco, Hernando","Orozco, Gómez de;  Gómez de Orozco, Hernando","Gómez de Orozco, Hernando"
5162,2615,"Orozco, Hernando Gómez de*","Gómez de Orozco, Hernando","Orozco, Hernando Gómez de*;  Gómez de Orozco, Hernando","Gómez de Orozco, Hernando"
5163,2616,"Calvo, Victor Moya*","Moya Calvo, Victor","Calvo, Victor Moya*;  Moya Calvo, Victor","Moya Calvo, Victor"
5164,2616,"Moya, Victor","Moya Calvo, Victor","Moya, Victor;  Moya Calvo, Victor","Moya Calvo, Victor"
5165,2617,"De Joanes, Joan","Juanes, Juan (or Joan) de","De Joanes, Joan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5166,2617,Joan de Joannes,"Juanes, Juan (or Joan) de","Joan de Joannes;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5167,2617,"Joanes, Joan (or Juan) de","Juanes, Juan (or Joan) de","Joanes, Joan (or Juan) de;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5168,2617,"Joánes, Vicente (or Vizente)","Juanes, Juan (or Joan) de","Joánes, Vicente (or Vizente);  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5169,2617,Juan de los Juanes,"Juanes, Juan (or Joan) de","Juan de los Juanes;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5170,2617,Juanes,"Juanes, Juan (or Joan) de","Juanes;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5171,2617,"Juanes, J. de","Juanes, Juan (or Joan) de","Juanes, J. de;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5172,2617,"Juanes, Juan de","Juanes, Juan (or Joan) de","Juanes, Juan de;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5173,2617,"Juanes, Juan Bautista","Juanes, Juan (or Joan) de","Juanes, Juan Bautista;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5174,2617,"Juanes, Vicente","Juanes, Juan (or Joan) de","Juanes, Vicente;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5175,2617,"Macip, Juan","Juanes, Juan (or Joan) de","Macip, Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5176,2617,"Maçip, Juan Vicente","Juanes, Juan (or Joan) de","Maçip, Juan Vicente;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5177,2617,"Macip, Vicente Juan","Juanes, Juan (or Joan) de","Macip, Vicente Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5178,2617,"Macip, Vicente Juan, called Juan de Juanes","Juanes, Juan (or Joan) de","Macip, Vicente Juan, called Juan de Juanes;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5179,2617,"Maçip, Vicente Juan","Juanes, Juan (or Joan) de","Maçip, Vicente Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5180,2617,"Macip Navarro, Vicente","Juanes, Juan (or Joan) de","Macip Navarro, Vicente;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5181,2617,"Masip, Vicente Juan","Juanes, Juan (or Joan) de","Masip, Vicente Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5182,2617,"Masip I, Vicente Juan","Juanes, Juan (or Joan) de","Masip I, Vicente Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5183,2617,"Masip Joanes, Vicente Juan","Juanes, Juan (or Joan) de","Masip Joanes, Vicente Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5184,2617,"Masip Navarro, Vicente Juan","Juanes, Juan (or Joan) de","Masip Navarro, Vicente Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5185,2617,"Navarro, Vicente Juan Masip*","Juanes, Juan (or Joan) de","Navarro, Vicente Juan Masip*;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5186,2617,"Vicente, Juan","Juanes, Juan (or Joan) de","Vicente, Juan;  Juanes, Juan (or Joan) de","Juanes, Juan (or Joan) de"
5187,2618,Bouzas,"García Bouzas, Miguel Antonio","Bouzas;  García Bouzas, Miguel Antonio","García Bouzas, Miguel Antonio"
5188,2618,"Bouzas, Miguel Antonio García*","García Bouzas, Miguel Antonio","Bouzas, Miguel Antonio García*;  García Bouzas, Miguel Antonio","García Bouzas, Miguel Antonio"
5189,2618,"Garzía Bouzas II, Juan Antonio","García Bouzas, Miguel Antonio","Garzía Bouzas II, Juan Antonio;  García Bouzas, Miguel Antonio","García Bouzas, Miguel Antonio"
5190,2619,"D'Osona the Elder, Roderic","Osona, Rodrigo de (or Roderic d')","D'Osona the Elder, Roderic;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5191,2619,Master Rodrigo,"Osona, Rodrigo de (or Roderic d')","Master Rodrigo;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5192,2619,"Osona, Rodrigo de, Master","Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de, Master;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5193,2619,Osona the Elder,"Osona, Rodrigo de (or Roderic d')","Osona the Elder;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5194,2619,"Osona the Elder, Roderic d' (or Rodrigo de)","Osona, Rodrigo de (or Roderic d')","Osona the Elder, Roderic d' (or Rodrigo de);  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5195,2619,Rodericus de Osona,"Osona, Rodrigo de (or Roderic d')","Rodericus de Osona;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5196,2619,"Rodrigo, Master","Osona, Rodrigo de (or Roderic d')","Rodrigo, Master;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5197,2619,Rodrigo I,"Osona, Rodrigo de (or Roderic d')","Rodrigo I;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5198,2619,Rodrigo de Osona,"Osona, Rodrigo de (or Roderic d')","Rodrigo de Osona;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5199,2619,Rodrigo de Osona the Elder,"Osona, Rodrigo de (or Roderic d')","Rodrigo de Osona the Elder;  Osona, Rodrigo de (or Roderic d')","Osona, Rodrigo de (or Roderic d')"
5200,2620,"De Osona the Younger, Rodrigo","Osona, Francesc d' (or Francisco de)","De Osona the Younger, Rodrigo;  Osona, Francesc d' (or Francisco de)","Osona, Francesc d' (or Francisco de)"
5201,2620,"D'Osona, Francesc","Osona, Francesc d' (or Francisco de)","D'Osona, Francesc;  Osona, Francesc d' (or Francisco de)","Osona, Francesc d' (or Francisco de)"
5202,2620,Osona the Younger,"Osona, Francesc d' (or Francisco de)","Osona the Younger;  Osona, Francesc d' (or Francisco de)","Osona, Francesc d' (or Francisco de)"
5203,2620,"Osona the Younger, Roderic d' (or Rodrigo de)","Osona, Francesc d' (or Francisco de)","Osona the Younger, Roderic d' (or Rodrigo de);  Osona, Francesc d' (or Francisco de)","Osona, Francesc d' (or Francisco de)"
5204,2620,"Osona II, Rodrigo de","Osona, Francesc d' (or Francisco de)","Osona II, Rodrigo de;  Osona, Francesc d' (or Francisco de)","Osona, Francesc d' (or Francisco de)"
5205,2620,Rodrigo II,"Osona, Francesc d' (or Francisco de)","Rodrigo II;  Osona, Francesc d' (or Francisco de)","Osona, Francesc d' (or Francisco de)"
5206,2620,Rodrigo de Osona the Younger,"Osona, Francesc d' (or Francisco de)","Rodrigo de Osona the Younger;  Osona, Francesc d' (or Francisco de)","Osona, Francesc d' (or Francisco de)"
5207,2622,"Graner y Vinuelas, Antonio","Graner y Viñuelas, Antonio","Graner y Vinuelas, Antonio;  Graner y Viñuelas, Antonio","Graner y Viñuelas, Antonio"
5208,2622,"Viñuelas, Antonio Graner*","Graner y Viñuelas, Antonio","Viñuelas, Antonio Graner*;  Graner y Viñuelas, Antonio","Graner y Viñuelas, Antonio"
5209,2623,"Becerril, Master of",Master of Becerril,"Becerril, Master of;  Master of Becerril",Master of Becerril
5210,2623,Becerril Master,Master of Becerril,Becerril Master;  Master of Becerril,Master of Becerril
5211,2624,"Gilabert, María Luisa","Gilabert, María Lucía","Gilabert, María Luisa;  Gilabert, María Lucía","Gilabert, María Lucía"
5212,2625,Alvar Martínez,"Martínez, Alvar (or Albar)","Alvar Martínez;  Martínez, Alvar (or Albar)","Martínez, Alvar (or Albar)"
5213,2626,"Bergasa, Justino Gil*","Gil Bergasa, Justino","Bergasa, Justino Gil*;  Gil Bergasa, Justino","Gil Bergasa, Justino"
5214,2626,"Gil Bergasa, Faustino","Gil Bergasa, Justino","Gil Bergasa, Faustino;  Gil Bergasa, Justino","Gil Bergasa, Justino"
5215,2627,"García, Alfredo Gil*","Gil García, Alfredo","García, Alfredo Gil*;  Gil García, Alfredo","Gil García, Alfredo"
5216,2627,"Gil García, A.","Gil García, Alfredo","Gil García, A.;  Gil García, Alfredo","Gil García, Alfredo"
5217,2628,"Rodó, Josep Gironella*","Gironella Rodó, Josep (or José)","Rodó, Josep Gironella*;  Gironella Rodó, Josep (or José)","Gironella Rodó, Josep (or José)"
519,263,"Barbasán, M.","Barbasán Lagueruela, Mariano","Barbasán, M.;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
520,263,"Barbasán, Mariano","Barbasán Lagueruela, Mariano","Barbasán, Mariano;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
521,263,"Barbasán Laguernelo, Mariano","Barbasán Lagueruela, Mariano","Barbasán Laguernelo, Mariano;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
522,263,"Barbasán Lagueruela, Blas","Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Blas;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
523,263,"Barbasán Lagueruela, M.","Barbasán Lagueruela, Mariano","Barbasán Lagueruela, M.;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
524,263,"Barbasán Llagueruela, Mariano","Barbasán Lagueruela, Mariano","Barbasán Llagueruela, Mariano;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
525,263,Barbasanti,"Barbasán Lagueruela, Mariano","Barbasanti;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
526,263,"Laguernelo, Mariano Barbasán","Barbasán Lagueruela, Mariano","Laguernelo, Mariano Barbasán;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
527,263,"Lagueruela, Mariano Barbasán","Barbasán Lagueruela, Mariano","Lagueruela, Mariano Barbasán;  Barbasán Lagueruela, Mariano","Barbasán Lagueruela, Mariano"
5218,2633,"Castro, Manuel Gumucio*","Gumucio Castro, Manuel","Castro, Manuel Gumucio*;  Gumucio Castro, Manuel","Gumucio Castro, Manuel"
5219,2633,"Gumucio, Manuel (de)","Gumucio Castro, Manuel","Gumucio, Manuel (de);  Gumucio Castro, Manuel","Gumucio Castro, Manuel"
5220,2634,"Gil I, José","Gil, José","Gil I, José;  Gil, José","Gil, José"
5221,2635,Master of Uclés,Master of Segovia,Master of Uclés;  Master of Segovia,Master of Segovia
5222,2635,Segovia Master,Master of Segovia,Segovia Master;  Master of Segovia,Master of Segovia
5223,2636,"De Juni, Juan","Juni, Juan de","De Juni, Juan;  Juni, Juan de","Juni, Juan de"
5224,2636,"Joigny, Juan de","Juni, Juan de","Joigny, Juan de;  Juni, Juan de","Juni, Juan de"
5225,2636,"Joni, Juan de","Juni, Juan de","Joni, Juan de;  Juni, Juan de","Juni, Juan de"
5226,2636,"Jony, Juan de","Juni, Juan de","Jony, Juan de;  Juni, Juan de","Juni, Juan de"
5227,2636,"Juani, Juan de","Juni, Juan de","Juani, Juan de;  Juni, Juan de","Juni, Juan de"
5228,2636,"Juny, Juan de","Juni, Juan de","Juny, Juan de;  Juni, Juan de","Juni, Juan de"
5229,2636,"Juanín, Juan de","Juni, Juan de","Juanín, Juan de;  Juni, Juan de","Juni, Juan de"
5230,2637,"De Morales, Luis","Morales, Luis de","De Morales, Luis;  Morales, Luis de","Morales, Luis de"
5231,2637,"Divino, El","Morales, Luis de","Divino, El;  Morales, Luis de","Morales, Luis de"
5232,2637,"Morales, (El) Divino","Morales, Luis de","Morales, (El) Divino;  Morales, Luis de","Morales, Luis de"
5233,2637,"Morales el Divino, Luis de","Morales, Luis de","Morales el Divino, Luis de;  Morales, Luis de","Morales, Luis de"
528,264,"Peralta, Juan Pedro (de)","Peralta, Pedro de","Peralta, Juan Pedro (de);  Peralta, Pedro de","Peralta, Pedro de"
